age,marital,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
55,Married,12,72000,$50 - $74,36.2,Luxury,Did not complete high school,23,0,3,5,f,4,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
56,Unmarried,29,153000,$75+,76.9,Luxury,Did not complete high school,35,0,3,4,m,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0
28,Married,9,28000,$25 - $49,13.700000000000001,Economy,Some college,4,0,1,3,f,3,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1
24,Married,4,26000,$25 - $49,12.5,Economy,College degree,0,0,1,1,m,3,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
25,Unmarried,2,23000,Under $25,11.3,Economy,High school degree,5,0,2,2,m,2,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1
45,Married,9,76000,$75+,37.2,Luxury,Some college,13,0,2,2,m,2,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1
42,Unmarried,19,40000,$25 - $49,19.8,Standard,Some college,10,0,2,2,m,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1
35,Unmarried,15,57000,$50 - $74,28.200000000000003,Standard,High school degree,1,0,1,1,f,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
46,Unmarried,26,24000,Under $25,12.200000000000001,Economy,Did not complete high school,11,0,2,5,f,2,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
34,Married,0,89000,$75+,46.1,Luxury,Some college,12,0,2,4,m,6,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0
55,Married,17,72000,$50 - $74,35.5,Luxury,Some college,2,0,1,3,f,2,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1
28,Unmarried,3,24000,Under $25,11.8,Economy,College degree,4,0,1,5,m,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1
31,Married,9,40000,$25 - $49,21.3,Standard,College degree,0,0,1,2,f,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
42,Unmarried,8,137000,$75+,68.9,Luxury,Some college,3,0,1,1,f,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0
35,Unmarried,8,70000,$50 - $74,34.1,Luxury,Some college,9,0,2,4,m,3,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1
52,Married,24,159000,$75+,78.9,Luxury,College degree,16,0,3,5,m,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
21,Married,1,37000,$25 - $49,18.6,Standard,Some college,0,0,1,1,m,7,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
32,Unmarried,0,28000,$25 - $49,13.700000000000001,Economy,Did not complete high school,2,0,1,4,f,2,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
42,Unmarried,9,109000,$75+,54.7,Luxury,Some college,20,0,3,3,f,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1
40,Married,12,117000,$75+,58.300000000000004,Luxury,High school degree,19,0,3,5,f,4,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1
30,Unmarried,3,23000,Under $25,11.8,Economy,Did not complete high school,3,0,1,3,m,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
48,Unmarried,14,21000,Under $25,9.5,Economy,Some college,2,0,1,3,m,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
39,Married,17,17000,Under $25,8.5,Economy,College degree,2,0,1,3,m,5,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1
42,Married,5,34000,$25 - $49,16.6,Standard,High school degree,13,0,2,3,f,4,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1
45,Married,12,115000,$75+,57.400000000000006,Luxury,Did not complete high school,27,0,3,4,f,5,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1
51,Married,10,47000,$25 - $49,23,Standard,Did not complete high school,9,0,2,3,m,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
39,Married,9,33000,$25 - $49,16.3,Standard,Some college,1,0,1,1,m,4,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1
49,Unmarried,29,135000,$75+,68.4,Luxury,High school degree,14,0,2,5,f,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1
52,Unmarried,20,272000,$75+,74.9,Luxury,Did not complete high school,35,0,3,5,m,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1
53,Married,29,41000,$25 - $49,19.900000000000002,Standard,Did not complete high school,9,0,2,4,m,2,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1
34,Unmarried,10,20000,Under $25,10,Economy,Some college,0,0,1,1,f,1,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1
47,Married,6,22000,Under $25,11.4,Economy,Some college,7,0,2,4,m,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
58,Unmarried,2,60000,$50 - $74,29.700000000000003,Standard,College degree,1,0,1,1,m,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1
25,Married,0,58000,$50 - $74,28.400000000000002,Standard,Some college,4,0,1,2,f,5,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
57,Married,28,92000,$75+,45.5,Luxury,High school degree,25,0,3,5,f,4,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
30,Married,7,21000,Under $25,10.5,Economy,College degree,4,0,1,1,m,2,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1
21,Unmarried,0,13000,Under $25,6.300000000000001,Economy,Some college,0,0,1,1,f,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
24,Unmarried,5,24000,Under $25,11.8,Economy,High school degree,2,0,1,3,f,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
56,Unmarried,7,213000,$75+,81.7,Luxury,College degree,30,0,3,4,f,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1
24,Unmarried,2,19000,Under $25,9.600000000000001,Economy,High school degree,0,0,1,3,m,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
41,Unmarried,13,59000,$50 - $74,28.6,Standard,Some college,17,0,3,3,m,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1
57,Married,30,544000,$75+,82.8,Luxury,High school degree,39,0,3,2,f,3,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
32,Unmarried,2,32000,$25 - $49,15.700000000000001,Standard,High school degree,10,0,2,5,m,6,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
24,Unmarried,5,35000,$25 - $49,17.400000000000002,Standard,College degree,0,0,1,2,m,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
49,Married,12,35000,$25 - $49,17.3,Standard,Did not complete high school,4,0,1,3,m,3,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0
21,Unmarried,0,22000,Under $25,11,Economy,Some college,0,0,1,1,f,2,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
33,Married,12,39000,$25 - $49,19.400000000000002,Standard,High school degree,8,0,2,2,f,5,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
56,Unmarried,12,134000,$75+,67.2,Luxury,High school degree,19,0,3,3,m,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
54,Married,16,103000,$75+,51.2,Luxury,Did not complete high school,28,0,3,2,m,6,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0
44,Married,8,240000,$75+,75.2,Luxury,College degree,11,0,2,3,f,2,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1
20,Unmarried,1,20000,Under $25,9.5,Economy,High school degree,0,0,1,2,m,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
47,Unmarried,15,118000,$75+,59.800000000000004,Luxury,High school degree,26,0,3,5,m,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1
48,Unmarried,15,78000,$75+,38,Luxury,College degree,18,0,3,4,f,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1
25,Unmarried,2,68000,$50 - $74,33.5,Luxury,College degree,0,0,1,2,f,3,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1
52,Unmarried,13,27000,$25 - $49,13.4,Economy,Did not complete high school,10,0,2,2,m,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
38,Married,0,19000,Under $25,9.200000000000001,Economy,Did not complete high school,1,0,1,1,f,2,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
65,Married,5,20000,Under $25,10.100000000000001,Economy,High school degree,10,1,2,3,m,2,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1
28,Married,2,31000,$25 - $49,15.600000000000001,Standard,Some college,0,0,1,3,m,2,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
51,Married,28,51000,$50 - $74,25.5,Standard,High school degree,9,0,2,3,m,4,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1
61,Married,34,84000,$75+,41.5,Luxury,High school degree,18,0,3,3,m,2,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
46,Married,10,133000,$75+,66.60000000000001,Luxury,Post-undergraduate degree,16,0,3,5,m,3,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1
43,Married,8,109000,$75+,54.6,Luxury,High school degree,20,0,3,3,f,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
28,Unmarried,7,24000,Under $25,12.5,Economy,Some college,2,0,1,2,m,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
39,Unmarried,6,57000,$50 - $74,28.6,Standard,Some college,12,0,2,2,f,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
37,Unmarried,16,24000,Under $25,11.3,Economy,Some college,7,0,2,1,m,2,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0
59,Married,35,32000,$25 - $49,15.9,Standard,High school degree,0,0,1,1,m,2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
55,Unmarried,29,65000,$50 - $74,31.5,Luxury,College degree,10,0,2,4,f,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1
51,Married,20,70000,$50 - $74,35.6,Luxury,Some college,8,0,2,3,m,2,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
48,Married,28,321000,$75+,65.9,Luxury,Post-undergraduate degree,11,0,2,4,m,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
40,Unmarried,4,71000,$50 - $74,35.1,Luxury,Some college,6,0,2,2,m,3,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
28,Unmarried,3,35000,$25 - $49,17.3,Standard,Some college,6,0,2,5,f,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
39,Married,16,85000,$75+,44,Luxury,High school degree,21,0,3,5,m,6,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
30,Married,0,20000,Under $25,9.700000000000001,Economy,Some college,3,0,1,4,f,4,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
40,Married,5,33000,$25 - $49,16.400000000000002,Standard,Some college,15,0,3,5,f,4,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
55,Unmarried,18,35000,$25 - $49,17.2,Standard,College degree,2,0,1,2,f,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0
48,Married,0,50000,$50 - $74,25.200000000000003,Standard,High school degree,11,0,2,3,f,4,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
48,Married,4,1116000,$75+,74.1,Luxury,College degree,22,0,3,5,m,4,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1
49,Married,19,89000,$75+,44.7,Luxury,High school degree,25,0,3,5,f,2,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
56,Unmarried,34,376000,$75+,64.9,Luxury,Did not complete high school,35,0,3,5,f,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
44,Unmarried,22,54000,$50 - $74,27.3,Standard,Did not complete high school,21,0,3,3,m,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1
43,Unmarried,12,68000,$50 - $74,32.9,Luxury,High school degree,15,0,3,3,m,2,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1
61,Married,12,117000,$75+,60.400000000000006,Luxury,College degree,5,0,2,4,f,3,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
37,Unmarried,18,29000,$25 - $49,14.5,Economy,Post-undergraduate degree,4,0,1,4,m,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1
29,Married,2,25000,$25 - $49,12.5,Economy,High school degree,10,0,2,2,m,2,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1
30,Married,10,27000,$25 - $49,13.100000000000001,Economy,Did not complete high school,3,0,1,2,f,4,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1
48,Unmarried,7,129000,$75+,65.5,Luxury,Some college,20,0,3,5,m,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0
51,Married,24,140000,$75+,70.60000000000001,Luxury,Did not complete high school,32,0,3,4,m,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0
40,Married,15,57000,$50 - $74,29.5,Standard,College degree,12,0,2,3,m,2,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1
66,Married,34,30000,$25 - $49,15.5,Standard,Did not complete high school,4,0,1,4,f,4,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1
61,Married,18,23000,Under $25,11.3,Economy,High school degree,27,1,3,4,m,3,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1
61,Married,6,64000,$50 - $74,32,Luxury,Some college,25,0,3,5,f,2,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1
32,Married,10,26000,$25 - $49,12.200000000000001,Economy,Some college,5,0,2,4,m,6,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1
25,Unmarried,6,27000,$25 - $49,13.4,Economy,High school degree,1,0,1,1,m,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1
47,Unmarried,1,28000,$25 - $49,13.700000000000001,Economy,Some college,8,0,2,3,m,5,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
59,Married,18,209000,$75+,76.8,Luxury,High school degree,22,0,3,5,f,2,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0
25,Married,5,27000,$25 - $49,13.8,Economy,High school degree,2,0,1,1,f,3,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
63,Married,31,478000,$75+,73,Luxury,Did not complete high school,45,0,3,4,m,2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
41,Unmarried,8,49000,$25 - $49,23.900000000000002,Standard,College degree,14,0,2,2,m,2,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1
66,Unmarried,24,30000,$25 - $49,14.3,Economy,High school degree,1,0,1,2,m,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
20,Unmarried,1,36000,$25 - $49,17.5,Standard,Some college,0,0,1,2,m,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1
47,Married,21,62000,$50 - $74,31.200000000000003,Luxury,Some college,5,0,2,3,m,3,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
42,Unmarried,9,49000,$25 - $49,24.5,Standard,Did not complete high school,12,0,2,3,f,3,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
35,Married,5,49000,$25 - $49,24.3,Standard,College degree,9,0,2,4,f,4,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1
24,Unmarried,2,23000,Under $25,11.9,Economy,College degree,1,0,1,3,m,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
22,Unmarried,3,23000,Under $25,11.5,Economy,College degree,0,0,1,3,f,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
32,Married,12,59000,$50 - $74,29.8,Standard,Post-undergraduate degree,5,0,2,2,m,4,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1
50,Married,20,58000,$50 - $74,29.200000000000003,Standard,Did not complete high school,8,0,2,5,m,2,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1
44,Married,8,46000,$25 - $49,23.200000000000003,Standard,Did not complete high school,18,0,3,4,m,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
32,Unmarried,12,31000,$25 - $49,15.4,Standard,College degree,1,0,1,1,m,2,1,1,0,0,NA,0,0,1,1,1,0,1,0,0,1
65,Unmarried,43,40000,$25 - $49,20.900000000000002,Standard,Did not complete high school,10,0,2,4,f,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1
47,Married,21,181000,$75+,90.4,Luxury,High school degree,21,0,3,4,f,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1
42,Unmarried,5,53000,$50 - $74,25.400000000000002,Standard,College degree,6,0,2,2,f,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
48,Unmarried,29,144000,$75+,72.7,Luxury,High school degree,14,0,2,2,f,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1
29,Unmarried,4,22000,Under $25,10.9,Economy,College degree,0,0,1,2,m,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1
36,Unmarried,3,43000,$25 - $49,20.200000000000003,Standard,High school degree,0,0,1,1,m,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
34,Unmarried,15,23000,Under $25,11.4,Economy,High school degree,4,0,1,4,f,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1
41,Unmarried,22,68000,$50 - $74,34.300000000000004,Luxury,College degree,0,0,1,1,f,2,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1
26,Unmarried,6,41000,$25 - $49,20.900000000000002,Standard,High school degree,0,0,1,1,m,3,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
25,Unmarried,6,23000,Under $25,11.5,Economy,College degree,0,0,1,1,m,2,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
53,Unmarried,23,145000,$75+,70.9,Luxury,High school degree,29,0,3,5,m,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0
32,Married,1,33000,$25 - $49,16.8,Standard,High school degree,2,0,1,3,f,2,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
46,Unmarried,7,83000,$75+,40.5,Luxury,High school degree,14,0,2,2,f,3,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
44,Married,5,39000,$25 - $49,19.200000000000003,Standard,Did not complete high school,17,0,3,5,f,6,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1
39,Unmarried,17,42000,$25 - $49,20.6,Standard,College degree,5,0,2,1,f,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
39,Married,14,43000,$25 - $49,22.3,Standard,Did not complete high school,11,0,2,4,f,2,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1
40,Unmarried,0,38000,$25 - $49,18.900000000000002,Standard,College degree,2,0,1,3,f,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1
25,Unmarried,4,59000,$50 - $74,28.400000000000002,Standard,College degree,2,0,1,2,f,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1
29,Married,2,57000,$50 - $74,28.700000000000003,Standard,High school degree,6,0,2,2,m,4,0,1,0,0,NA,0,1,1,1,1,0,1,0,1,1
23,Unmarried,0,24000,Under $25,11.8,Economy,College degree,0,0,1,1,m,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1
48,Unmarried,25,45000,$25 - $49,22.700000000000003,Standard,Did not complete high school,11,0,2,3,m,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
24,Unmarried,5,22000,Under $25,10.600000000000001,Economy,High school degree,0,0,1,2,m,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1
59,Unmarried,24,30000,$25 - $49,14.5,Economy,Some college,5,0,2,1,m,3,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1
31,Married,2,30000,$25 - $49,15.100000000000001,Standard,High school degree,3,0,1,1,f,4,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1
